101002446,检测到Post请求传输PHP代码,,
101002639,Uri使用Php配置选项Allow_Url_Include尝试,,
101002640,疑似发现在请求uri中对php安全模式配置,,
101002641,Uri中存在Suhosin.Simulation Php配置选项尝试,,
101002643,在Uri尝试中打开_Basedir Php Config选项,,
101002644,Uri尝试中使用Auto_Prepend_File Php 配置选项(CVE-2012-1823/CVE-2012-2311等),CVE-2012-1823 CVE-2012-2311 CVE-2012-2335 CVE-2012-2336,符合
101002647,疑似SQL注入 - Body中发现Xp_Cmdshell,,
101002661,发现Webshell通用Asp文件上传尝试,,
101002750,Invision Board phpinfo.php远程信息泄露漏洞（CVE-2002-1149）,CVE-2002-1149,
101003220,检测到通用文件上传（PHP）,,
101003235,检测到ASP文件上传行为,,
103004003,对Chr函数的大量调用-疑似Sql注入,,
103004164,检测到访问scripts目录行为,,
103004173,检测到访问敏感目录 /Scripts/Samples/,,
103004182,检测到cmd.exe命令执行,,
103004186,检测到访问敏感目录Iissamples,,
103004188,编码V2Root.Exe访问,,
103004189,检测到可疑的repost.asp访问行为,,
103004279,疑似使用Concat函数和Select-liked进行Sql注入,,
103018886,检测到通用文件上传行为,,
103018945,检测到/cvs/目录访问,,
103019716,检测到跨站脚本攻击（uri）,,
103019856,Adobe ColdFusion 信息泄露漏洞（CVE-2013-0632）,CVE-2013-0632,
103020353,请求体中发现可疑的Curl用法,,
103020370,检测到尝试访问/etc/passwd敏感文件,,
103020372,URL中出现目录穿越行为尝试,,
103020506,Druid未授权访问尝试,,
103020658,检测到目录遍历攻击行为(CVE-2008-2938),CVE-2008-2938,
103020659,疑似Apache Tomcat DefaultServlet文件泄露(CVE-2002-1148),CVE-2002-1148,
103020665,Spring Data Commons和Spring Data REST 输入验证错误漏洞(CVE-2018-1273),CVE-2018-1273,
103020666,Oracle 9i默认配置文件信息泄露（soapConfig.xml）(CVE-2002-0568),CVE-2002-0568,
103020667,Oracle 9i默认配置文件信息泄露（XSQLConfig.xml）(CVE-2002-0568),CVE-2002-0568,
103020717,检测到疑似脚本源码访问尝试,,
103020868,金蝶目录遍历漏洞尝试,,
103025701,Apache Dubbo 代码问题漏洞（CVE-2019-17564）,CVE-2019-17564,
103026106,Pivotal Spring Framework isWritableProperty表达式注入(CVE-2018-1273),CVE-2018-1273,
103030146,惠普SiteScope SOAP调用apipreferenceimp多重安全绕过,,
103030492,惠普SiteScope SOAP呼叫apisitescopeimp多重信息披露,,
103031001,调用通用集合函数的序列化Java对象,,
103032018,URL中存在Struts代码执行（机器学习）,,
103032023,HTTP请求的POST中出现XXE攻击尝试（机器学习）,,
103033000,检测到请求Linux下敏感文件/目录行为,,
103033008,Swagger敏感信息泄露,,
103033012,疑似Hadoop未授权访问漏洞,,
103033021,疑似文件解析漏洞攻击,,
103033030,Spring Data Commons和Spring Data REST 输入验证错误漏洞尝试(CVE-2018-1273),CVE-2018-1273,
103033126,检测到敏感文件信息读取尝试行为（WEB-INF）,,
103035073,检测到SOCKS5代理连接,,
103035565,检测到SOCKS5代理连接,,
103043915,疑似发现绿盟极光扫描器扫描行为,,
103044014,vBulletin 5.x 未认证远程代码执行漏洞(CVE-2019-16759),CVE-2019-16759,
103044026,Elasticsearch未授权访问漏洞,,
103044102,WebLogic Server 信息泄露漏洞(CVE-2022-21371),CVE-2022-21371,
103044295,Atlassian多产品ConfluenceResourceDownloadRewriteRule信息泄露漏洞(CVE-2020-29448),CVE-2020-29448,
103045087,金蝶OA目录遍历漏洞,,
103046026,检测到联软准入任意文件上传,,
103046033,ThinkAdminV6任意文件读取尝试,,
103046047,宝塔面板PhpMyAdmin未授权访问,,
104020005,通用命令执行(HTTP Uri),,
104020043,通用命令执行(HTTP Body),,
104020044,通用命令执行(HTTP Body),,
104020045,通用命令执行(HTTP Body),,
104020048,通用命令执行(HTTP Body),,
104020049,通用命令执行(HTTP Body),,
104020062,PHP通用命令执行(HTTP Body),,
104020110,检测到Log4j 攻击尝试,,
104021081,发现疑似PHP代码执行,,
104021708,HTTP请求的POST中出现XXE攻击尝试（机器学习）,,
104021709,URL中存在Struts代码执行（机器学习）,,
104021713,URL中存在PHP代码执行（机器学习）,,
104023007,HTTP请求的URL中出现SQL注入尝试,,
104023009,HTTP请求BODY的URL编码参数中出现SQL注入尝试,,
104023012,HTTP请求的URL中出现SQL注入尝试（机器学习）,,
104023013,HTTP请求的COOKIE中出现SQL注入尝试（机器学习）,,
106015231,Naviwebs Navigate CMS SQL注入漏洞(CVE-2018-17552),CVE-2018-17552,
106020000,Microsoft IIS 3.0/4.0 ::$DATA请求泄露ASP源代码漏洞(CVE-1999-0278),CVE-1999-0278,
106020008,敏感目录访问(CVE-1999-0736),CVE-1999-0736,
106020893,Struts2 重定向漏洞攻击(CVE-2013-2248),CVE-2013-2248,
106024117,vBulletin 远程代码执行漏洞攻击(CVE-2015-7808),CVE-2015-7808,
106042400,检测到用友GRP-u8 SQL注入漏洞攻击,,
106045281,检测到vBulletin 任意代码执行漏洞,,
